,learned-embed-dim,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
51,53.0,Figure7-learned-embed-dim-049-b66d3f73,Completed,0.9836999773979187,2023-01-24 01:56:06+01:00,2023-01-24 02:32:28+01:00,2182.0
52,52.0,Figure7-learned-embed-dim-048-3a89e421,Completed,0.9162999987602234,2023-01-24 01:51:58+01:00,2023-01-24 02:28:55+01:00,2217.0
53,50.0,Figure7-learned-embed-dim-047-8e026496,Completed,0.9674999713897705,2023-01-24 01:51:49+01:00,2023-01-24 02:29:26+01:00,2257.0
54,46.0,Figure7-learned-embed-dim-046-480a2c28,Completed,0.9316999912261963,2023-01-24 01:51:48+01:00,2023-01-24 02:28:09+01:00,2181.0
55,16.0,Figure7-learned-embed-dim-045-3afa7827,Completed,0.8025000095367432,2023-01-24 01:51:46+01:00,2023-01-24 02:22:40+01:00,1854.0
56,32.0,Figure7-learned-embed-dim-044-68c39607,Completed,0.871999979019165,2023-01-24 01:46:07+01:00,2023-01-24 02:17:57+01:00,1910.0
57,33.0,Figure7-learned-embed-dim-043-baea189d,Completed,0.8115000128746033,2023-01-24 01:45:40+01:00,2023-01-24 02:16:45+01:00,1865.0
58,45.0,Figure7-learned-embed-dim-042-487fcd8a,Completed,0.995199978351593,2023-01-24 01:45:33+01:00,2023-01-24 02:21:03+01:00,2130.0
59,44.0,Figure7-learned-embed-dim-041-39ef55ed,Completed,0.8740000128746033,2023-01-24 01:45:33+01:00,2023-01-24 02:22:09+01:00,2196.0
60,43.0,Figure7-learned-embed-dim-040-6b28d920,Completed,0.8255000114440918,2023-01-24 01:20:16+01:00,2023-01-24 01:55:53+01:00,2137.0
61,42.0,Figure7-learned-embed-dim-039-939f99c2,Completed,0.8853999972343445,2023-01-24 01:20:01+01:00,2023-01-24 01:57:03+01:00,2222.0
62,30.0,Figure7-learned-embed-dim-038-8964e869,Completed,0.748199999332428,2023-01-24 01:19:52+01:00,2023-01-24 01:50:57+01:00,1865.0
63,34.0,Figure7-learned-embed-dim-037-888085c6,Completed,0.9160000085830688,2023-01-24 01:19:16+01:00,2023-01-24 01:51:01+01:00,1905.0
64,36.0,Figure7-learned-embed-dim-036-59f075cd,Completed,0.8848999738693237,2023-01-24 01:19:09+01:00,2023-01-24 01:51:04+01:00,1915.0
65,35.0,Figure7-learned-embed-dim-035-a63c2001,Completed,0.8855999708175659,2023-01-24 01:19:07+01:00,2023-01-24 01:51:42+01:00,1955.0
66,17.0,Figure7-learned-embed-dim-034-f08f4a30,Completed,0.8992000222206116,2023-01-24 01:14:19+01:00,2023-01-24 01:45:13+01:00,1854.0
67,38.0,Figure7-learned-embed-dim-033-e8b0b777,Completed,0.9053999781608582,2023-01-24 01:13:37+01:00,2023-01-24 01:45:52+01:00,1935.0
68,37.0,Figure7-learned-embed-dim-032-60ba61f4,Completed,0.7670999765396118,2023-01-24 01:13:35+01:00,2023-01-24 01:45:25+01:00,1910.0
69,18.0,Figure7-learned-embed-dim-031-638ac8df,Completed,0.824999988079071,2023-01-24 01:14:13+01:00,2023-01-24 01:44:57+01:00,1844.0
70,41.0,Figure7-learned-embed-dim-030-14e9076e,Completed,0.84579998254776,2023-01-24 00:43:34+01:00,2023-01-24 01:20:00+01:00,2186.0
71,48.0,Figure7-learned-embed-dim-029-9b0e863e,Completed,0.9053999781608582,2023-01-24 00:43:23+01:00,2023-01-24 01:19:44+01:00,2181.0
72,49.0,Figure7-learned-embed-dim-028-b886ae4a,Completed,0.9398000240325928,2023-01-24 00:42:56+01:00,2023-01-24 01:19:37+01:00,2201.0
73,85.0,Figure7-learned-embed-dim-027-6bef3bc5,Completed,1.0414999723434448,2023-01-24 00:41:28+01:00,2023-01-24 01:19:05+01:00,2257.0
74,51.0,Figure7-learned-embed-dim-026-c0ac71c2,Completed,1.0134999752044678,2023-01-24 00:41:27+01:00,2023-01-24 01:18:29+01:00,2222.0
